"start_line","module","page","heading","report_section","runtime_status"
"1","文首","总则","# # 外贸 ERP 正式需求 V1.0","总则/换对象/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3","文首","总则","## 本次修改位置索引","总则/换对象/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"57","文首","总则","### 实单重新询价与对象更换规则（本次修订）","总则/换对象/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"76","销售模块","总则","# 销售模块","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"78","销售模块","1：客户询盘","## 页面 1：客户询盘","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"80","销售模块","1：客户询盘","### 一、页面用途","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"84","销售模块","1：客户询盘","### 二、操作人员","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"98","销售模块","1：客户询盘","### 三、数据来源","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"107","销售模块","1：客户询盘","### 四、页面内容","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"125","销售模块","1：客户询盘","### 五、提交询价","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"139","销售模块","1：客户询盘","### 六、页面操作","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"156","销售模块","1：客户询盘","### 七、撤回询价","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"180","销售模块","1：客户询盘","### 八、重新提交","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"193","销售模块","1：客户询盘","### 九、页面状态","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"201","销售模块","1：客户询盘","### 十、操作结果","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"210","销售模块","1：客户询盘","### 十一、与采购和物流的交互","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"222","销售模块","1：客户询盘","### 十二、完整流程","S1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"245","销售模块","总则","# 销售模块","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"247","销售模块","2：客户报价","## 页面 2：客户报价","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"249","销售模块","2：客户报价","### 一、页面用途","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"255","销售模块","2：客户报价","### 二、操作人员","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"269","销售模块","2：客户报价","### 三、数据来源","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"287","销售模块","2：客户报价","### 四、页面内容","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"295","销售模块","2：客户报价","### 五、工厂报价","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"319","销售模块","2：客户报价","### 六、货代报价","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"345","销售模块","2：客户报价","### 七、给客户的报价","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"380","销售模块","2：客户报价","### 八、报价公式","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"429","销售模块","2：客户报价","### 九、页面操作","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"454","销售模块","2：客户报价","### 十、保存和修改","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"468","销售模块","2：客户报价","### 十一、客户确认","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"488","销售模块","2：客户报价","### 十二、页面状态","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"506","销售模块","2：客户报价","### 十三、与采购模块的交互","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"516","销售模块","2：客户报价","### 十四、与物流模块的交互","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"526","销售模块","2：客户报价","### 十五、询盘撤回时的处理","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"537","销售模块","2：客户报价","### 十六、与外销合同的交互","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"548","销售模块","2：客户报价","### 十七、完整流程","S2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"569","销售模块","总则","# 销售模块","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"571","销售模块","3：外销合同","## 页面 3：外销合同","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"573","销售模块","3：外销合同","### 一、页面用途","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"579","销售模块","3：外销合同","### 二、操作人员","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"594","销售模块","3：外销合同","### 三、合同列表","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"616","销售模块","3：外销合同","### 四、查询合同","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"627","销售模块","3：外销合同","### 五、列表操作","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
